"month","day","mean.ETPI_ft","SE.ETPI_ft","sd.ETPI_ft","N.val","UCI","LCI","DOY"
1,1,0.0085,0.000475594865605671,0.00184197099403252,15,0.00756785119218072,0.00943214880781928,1
1,2,0.00783333333333333,0.000562261119176461,0.00217762795079038,15,0.00673132178984029,0.00893534487682638,2
1,3,0.00666666666666667,0.000481125224324688,0.00186338998124982,15,0.00572367855493652,0.00760965477839681,3
1,4,0.00788888888888889,0.000421532435710778,0.00163258810339409,15,0.00706270049658032,0.00871507728119746,4
1,5,0.00803571428571429,0.000615276269242898,0.0023021529977194,14,0.00682979495745604,0.00924163361397254,5
1,6,0.006875,0.00103049565564164,0.00412198262256657,16,0.00485526562871739,0.00889473437128261,6
1,7,0.00683333333333333,0.000797648660904904,0.00308927997980934,15,0.00526997068564312,0.00839669598102355,7
1,8,0.0071875,0.000666992108065922,0.00266796843226369,16,0.00588021949021835,0.00849478050978165,8
1,9,0.00739583333333333,0.000653848117769801,0.0026153924710792,16,0.00611431457114522,0.00867735209552145,9
1,10,0.00867647058823529,0.000525390958583971,0.00216624241698623,17,0.00764672323160774,0.00970621794486285,10
1,11,0.00651960784313726,0.00079326236924913,0.00327070453724188,17,0.00496484216911805,0.00807437351715646,11
1,12,0.00666666666666667,0.000815787508643801,0.0032631500345752,16,0.00506775253068716,0.00826558080264617,12
1,13,0.00546875,0.000372435288313932,0.00148974115325573,16,0.0047387902483329,0.0061987097516671,13
1,14,0.00744791666666667,0.000984453075974826,0.0039378123038993,16,0.00551842409328633,0.009377409240047,14
1,15,0.0084375,0.000793765492703864,0.00317506197081545,16,0.00688174822212974,0.00999325177787026,15
1,16,0.00594444444444444,0.000998897099035772,0.00386871182914045,15,0.00398664210607279,0.0079022467828161,16
1,17,0.00848958333333333,0.000560148118225753,0.00224059247290301,16,0.00739171319560297,0.00958745347106369,17
1,18,0.00916666666666667,0.000680413817439772,0.00263523138347365,15,0.0078330800899013,0.010500253243432,18
1,19,0.00817708333333333,0.000830616230132339,0.00332246492052936,16,0.00654910543729952,0.00980506122936715,19
1,20,0.00796875,0.000564009035503537,0.00225603614201415,16,0.0068633126034579,0.0090741873965421,20
1,21,0.0078125,0.000526359571156589,0.00210543828462636,16,0.00678085419761514,0.00884414580238486,21
1,22,0.00703125,0.000860557898013453,0.00344223159205381,16,0.00534458751328214,0.00871791248671786,22
1,23,0.00538888888888889,0.000731322399150415,0.00283239947261801,15,0.00395552332546665,0.00682225445231113,23
1,24,0.00922222222222222,0.000548366180003959,0.00212381308277871,15,0.00814744425907465,0.0102970001853698,24
1,25,0.00744791666666667,0.000652047833609479,0.00260819133443792,16,0.00616992639659472,0.00872590693673861,25
1,26,0.00645833333333333,0.000785060153392366,0.00314024061356946,16,0.00491964370698681,0.00799702295967986,26
1,27,0.00739583333333333,0.000808215197552951,0.0032328607902118,16,0.00581176065437163,0.00897990601229504,27
1,28,0.00729166666666667,0.00083506763975319,0.00334027055901276,16,0.00565496416809555,0.00892836916523779,28
1,29,0.0105208333333333,0.000804627099045588,0.00321850839618235,16,0.00894379319821904,0.0120978734684476,29
1,30,0.0111111111111111,0.000427762316768631,0.00165671632898001,15,0.0102727123763012,0.011949509845921,30
1,31,0.010625,0.000391607560551991,0.00156643024220797,16,0.00985746328524451,0.0113925367147555,31
2,1,0.00973958333333333,0.00050299306701282,0.00201197226805128,16,0.00875373503751486,0.0107254316291518,32
2,2,0.009375,0.000566727937863977,0.00226691175145591,16,0.00826423365275395,0.010485766347246,33
2,3,0.0105,0.000791823292776947,0.00306671842606424,15,0.00894805486403727,0.0120519451359627,34
2,4,0.00755555555555556,0.00097748011342126,0.00378576420052948,15,0.00563972973764576,0.00947138137346535,35
2,5,0.00713541666666667,0.000822740839162568,0.00329096335665027,16,0.00552287425329777,0.00874795908003556,36
2,6,0.00916666666666667,0.00052704627669473,0.00204124145231932,15,0.00813367494615906,0.0101996583871743,37
2,7,0.00933333333333333,0.00090267093384844,0.00349602949390051,15,0.00756413081309926,0.0111025358535674,38
2,8,0.00822916666666667,0.000696697733225451,0.0027867909329018,16,0.00686366420143409,0.00959466913189925,39
2,9,0.00805555555555556,0.000795434503515353,0.00308070458511373,15,0.00649653257660496,0.00961457853450615,40
2,10,0.01046875,0.000667398686651723,0.00266959474660689,16,0.00916067261083329,0.0117768273891667,41
2,11,0.00864583333333333,0.000558369609103478,0.00223347843641391,16,0.00755144900942881,0.00974021765723786,42
2,12,0.00890625,0.000732507228822882,0.00293002891529153,16,0.00747056221309191,0.0103419377869081,43
2,13,0.00833333333333333,0.000965680942413012,0.00374006620771548,15,0.00644063346564713,0.0102260332010195,44
2,14,0.01140625,0.000728546363137406,0.00291418545254962,16,0.00997832536718304,0.012834174632817,45
2,15,0.0100520833333333,0.000459397438983332,0.00183758975593333,16,0.00915168089833607,0.0109524857683306,46
2,16,0.00933333333333333,0.000728301641096105,0.00282070012698075,15,0.00790588834690355,0.0107607783197631,47
2,17,0.00848958333333333,0.000575436378292999,0.00230174551317199,16,0.00736174875648489,0.00961741791018178,48
2,18,0.00661458333333333,0.00106357176336782,0.00425428705347128,16,0.00453002098215865,0.00869914568450802,49
2,19,0.00869791666666667,0.000649825252507392,0.00259930101002957,16,0.00742428257550753,0.0099715507578258,50
2,20,0.0124479166666667,0.000606049508657869,0.00242419803463148,16,0.011260081456849,0.0136357518764843,51
2,21,0.0121111111111111,0.000436940622492089,0.00169226375419336,15,0.0112547232276441,0.0129674989945781,52
